timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716911728393,8860,DarazCheck,200,OK,Thread Group 1-3,text,true,,1144024,118,10,10,https://www.daraz.com.bd/,364,0,299
1716911727405,10895,DarazCheck,200,OK,Thread Group 1-1,text,true,,1144054,118,9,9,https://www.daraz.com.bd/,1205,0,1130
1716911730205,8253,DarazCheck,200,OK,Thread Group 1-6,text,true,,1144086,118,8,8,https://www.daraz.com.bd/,259,0,199
1716911727794,10664,DarazCheck,200,OK,Thread Group 1-2,text,true,,1144164,118,8,8,https://www.daraz.com.bd/,816,0,740
1716911731394,7176,DarazCheck,200,OK,Thread Group 1-8,text,true,,1144080,118,6,6,https://www.daraz.com.bd/,300,0,214
1716911729595,9251,DarazCheck,200,OK,Thread Group 1-5,text,true,,1144062,118,5,5,https://www.daraz.com.bd/,257,0,192
1716911730793,9115,DarazCheck,200,OK,Thread Group 1-7,text,true,,1143968,118,4,4,https://www.daraz.com.bd/,248,0,179
1716911728997,15184,DarazCheck,200,OK,Thread Group 1-4,text,true,,1144104,118,3,3,https://www.daraz.com.bd/,380,0,317
1716911732593,12271,DarazCheck,200,OK,Thread Group 1-10,text,true,,1144035,118,2,2,https://www.daraz.com.bd/,247,0,185
1716911731996,14487,DarazCheck,200,OK,Thread Group 1-9,text,true,,1143967,118,1,1,https://www.daraz.com.bd/,284,0,223
